OCD,Geographic code,Geographic name,Province or territory,Population,Scraper?,Shapefile?,Contact,Highrise URL,Request notes,Received via,Last boundary,Next boundary,Permission to distribute,Type of license,License URL,Denial notes
ocd-division/country:ca/csd:1001289,1001289,Chapel Arm,NL,468,,,,,,,,,,,,
ocd-division/country:ca/csd:1001293,1001293,"Division No.  1, Subd. Y",NL,1175,,,,,,,,,,,,
ocd-division/country:ca/csd:1001298,1001298,Whitbourne,NL,916,,,,,,,,,,,,
ocd-division/country:ca/csd:1001304,1001304,"Division No.  1, Subd. E",NL,2971,,,,,,,,,,,,
ocd-division/country:ca/csd:1001308,1001308,Whiteway,NL,293,,,,,,,,,,,,
ocd-division/country:ca/csd:1001312,1001312,Heart's Delight-Islington,NL,704,,,,,,,,,,,,
ocd-division/country:ca/csd:1001316,1001316,Heart's Desire,NL,223,,,,,,,,,,,,
ocd-division/country:ca/csd:1001321,1001321,"Division No.  1, Subd. F",NL,546,,,,,,,,,,,,
ocd-division/country:ca/csd:1001325,1001325,Heart's Content,NL,375,,,,,,,,,,,,
ocd-division/country:ca/csd:1001328,1001328,New Perlican,NL,210,,,,,,,,,,,,
ocd-division/country:ca/csd:1001332,1001332,Winterton,NL,484,,,,,,,,,,,,
ocd-division/country:ca/csd:1001335,1001335,Hant's Harbour,NL,346,,,,,,,,,,,,
ocd-division/country:ca/csd:1001339,1001339,"Division No.  1, Subd. G",NL,2017,,,,,,,,,,,,
ocd-division/country:ca/csd:1001343,1001343,Old Perlican,NL,661,,,,,,,,,,,,
ocd-division/country:ca/csd:1001347,1001347,Bay de Verde,NL,398,,,,,,,,,,,,
ocd-division/country:ca/csd:1001352,1001352,Small Point-Adam's Cove-Blackhead-Broad Cove,NL,389,,,,,,,,,,,,
ocd-division/country:ca/csd:1001357,1001357,"Division No.  1, Subd. H",NL,408,,,,,,,,,,,,
ocd-division/country:ca/csd:1001361,1001361,Salmon Cove,NL,695,,,,,,,,,,,,
ocd-division/country:ca/csd:1001365,1001365,Victoria,NL,1764,,,,,,,,,,,,
ocd-division/country:ca/csd:1001370,1001370,Carbonear,NL,4739,,,,,,,,,,,,
ocd-division/country:ca/csd:1001374,1001374,"Division No.  1, Subd. I",NL,271,,,,,,,,,,,,
ocd-division/country:ca/csd:1001375,1001375,Bryant's Cove,NL,396,,,,,,,,,,,,
ocd-division/country:ca/csd:1001379,1001379,Harbour Grace,NL,3131,,,,,,,,,,,,
ocd-division/country:ca/csd:1001385,1001385,Upper Island Cove,NL,1594,,,,,,,,,,,,
ocd-division/country:ca/csd:1001391,1001391,"Division No.  1, Subd. J",NL,0,,,,,,,,,,,,
ocd-division/country:ca/csd:1001394,1001394,Bishop's Cove,NL,275,,,,,,,,,,,,
ocd-division/country:ca/csd:1001396,1001396,Spaniard's Bay,NL,2622,,,,,,,,,,,,
ocd-division/country:ca/csd:1001405,1001405,"Division No.  1, Subd. K",NL,46,,,,,,,,,,,,
ocd-division/country:ca/csd:1001409,1001409,Bay Roberts,NL,5818,,,,,,,,,,,,
ocd-division/country:ca/csd:1001415,1001415,"Division No.  1, Subd. L",NL,956,,,,,,,,,,,,
ocd-division/country:ca/csd:1001421,1001421,"Division No.  1, Subd. M",NL,1087,,,,,,,,,,,,
ocd-division/country:ca/csd:1001426,1001426,North River,NL,562,,,,,,,,,,,,
ocd-division/country:ca/csd:1001429,1001429,Clarke's Beach,NL,1396,,,,,,,,,,,,
ocd-division/country:ca/csd:1001434,1001434,South River,NL,655,,,,,,,,,,,,
ocd-division/country:ca/csd:1001437,1001437,Cupids,NL,761,,,,,,,,,,,,
ocd-division/country:ca/csd:1001441,1001441,"Division No.  1, Subd. N",NL,317,,,,,,,,,,,,
ocd-division/country:ca/csd:1001446,1001446,Brigus,NL,750,,,,,,,,,,,,
ocd-division/country:ca/csd:1001452,1001452,"Division No.  1, Subd. O",NL,724,,,,,,,,,,,,
ocd-division/country:ca/csd:1001456,1001456,Colliers,NL,651,,,,,,,,,,,,
ocd-division/country:ca/csd:1001461,1001461,Conception Harbour,NL,697,,,,,,,,,,,,
ocd-division/country:ca/csd:1001464,1001464,Avondale,NL,636,,,,,,,,,,,,
ocd-division/country:ca/csd:1001469,1001469,Harbour Main-Chapel's Cove-Lakeview,NL,1083,,,,,,,,,,,,
ocd-division/country:ca/csd:1001472,1001472,Holyrood,NL,1995,,,,,,,,,,,,
ocd-division/country:ca/csd:1001485,1001485,Conception Bay South,NL,24848,,Request,,,,,,,,,,
ocd-division/country:ca/csd:1001490,1001490,"Division No.  1, Subd. R",NL,344,,,,,,,,,,,,
ocd-division/country:ca/csd:1001494,1001494,Wabana,NL,2346,,,,,,,,,,,,
ocd-division/country:ca/csd:1001504,1001504,Portugal Cove-St. Philip's,NL,7366,,,,,,,,,,,,
ocd-division/country:ca/csd:1001505,1001505,Pouch Cove,NL,1866,,,,,,,,,,,,
ocd-division/country:ca/csd:1001507,1001507,Flatrock,NL,1457,,,,,,,,,,,,
ocd-division/country:ca/csd:1001509,1001509,Torbay,NL,7397,,,,,,,,,,,,
ocd-division/country:ca/csd:1001511,1001511,Logy Bay-Middle Cove-Outer Cove,NL,2098,,,,,,,,,,,,
ocd-division/country:ca/csd:1001512,1001512,Bauline,NL,397,,,,,,,,,,,,
ocd-division/country:ca/csd:1001517,1001517,Paradise,NL,17695,,,,,,,,,,,,
ocd-division/country:ca/csd:1001519,1001519,St. John's,NL,106172,https://scraperwiki.com/scrapers/st_johns3/,Y,"Greg Keating
Manager of GIS
City of St. John's
Tel: 1-709-576-8482
Cel: 1-709-690-1522
gkeating@stjohns.ca",https://opennorthinc.highrisehq.com/people/131304997-greg-keating,,email,8/17/2012,no plans,Y,"email (""The Ward boundaries are public and may be freely distributed."")",,
ocd-division/country:ca/csd:1001542,1001542,Mount Pearl,NL,24284,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ocd-division/country:ca/csd:1001551,1001551,Petty Harbour-Maddox Cove,NL,924,,,,,,,,,,,,
ocd-division/country:ca/csd:1001557,1001557,Bay Bulls,NL,1283,,,,,,,,,,,,
ocd-division/country:ca/csd:1001559,1001559,Witless Bay,NL,1179,,,,,,,,,,,,
ocd-division/country:ca/csd:1001565,1001565,"Division No.  1, Subd. D",NL,115,,,,,,,,,,,,
ocd-division/country:ca/csd:1002001,1002001,"Division No.  2, Subd. E",NL,269,,,,,,,,,,,,
ocd-division/country:ca/csd:1002002,1002002,Lewin's Cove,NL,555,,,,,,,,,,,,
ocd-division/country:ca/csd:1002005,1002005,Burin,NL,2424,,,,,,,,,,,,
ocd-division/country:ca/csd:1002006,1002006,"Division No.  2, Subd. F",NL,130,,,,,,,,,,,,
ocd-division/country:ca/csd:1002008,1002008,St. Lawrence,NL,1244,,,,,,,,,,,,
ocd-division/country:ca/csd:1002009,1002009,"Division No.  2, Subd. G",NL,10,,,,,,,,,,,,
ocd-division/country:ca/csd:1002011,1002011,Lawn,NL,672,,,,,,,,,,,,
ocd-division/country:ca/csd:1002012,1002012,Lamaline,NL,286,,,,,,,,,,,,
ocd-division/country:ca/csd:1002013,1002013,Lord's Cove,NL,175,,,,,,,,,,,,
ocd-division/country:ca/csd:1002014,1002014,Point May,NL,233,,,,,,,,,,,,
ocd-division/country:ca/csd:1002015,1002015,Point au Gaul,NL,97,,,,,,,,,,,,
ocd-division/country:ca/csd:1002016,1002016,"Division No.  2, Subd. H",NL,139,,,,,,,,,,,,
ocd-division/country:ca/csd:1002017,1002017,Frenchman's Cove,NL,172,,,,,,,,,,,,
ocd-division/country:ca/csd:1002018,1002018,Fortune,NL,1442,,,,,,,,,,,,
ocd-division/country:ca/csd:1002019,1002019,Grand Bank,NL,2415,,,,,,,,,,,,
ocd-division/country:ca/csd:1002021,1002021,Garnish,NL,545,,,,,,,,,,,,
ocd-division/country:ca/csd:1002022,1002022,"Division No.  2, Subd. D",NL,260,,,,,,,,,,,,
ocd-division/country:ca/csd:1002023,1002023,Winterland,NL,363,,,,,,,,,,,,
ocd-division/country:ca/csd:1002024,1002024,Marystown,NL,5506,,,,,,,,,,,,
ocd-division/country:ca/csd:1002025,1002025,Fox Cove-Mortier,NL,333,,,,,,,,,,,,
ocd-division/country:ca/csd:1002026,1002026,"Division No.  2, Subd. I",NL,136,,,,,,,,,,,,
ocd-division/country:ca/csd:1002027,1002027,Bay L'Argent,NL,285,,,,,,,,,,,,
ocd-division/country:ca/csd:1002029,1002029,"Division No.  2, Subd. J",NL,0,,,,,,,,,,,,
ocd-division/country:ca/csd:1002030,1002030,Grand le Pierre,NL,260,,,,,,,,,,,,
ocd-division/country:ca/csd:1002031,1002031,"Division No.  2, Subd. C",NL,596,,,,,,,,,,,,
ocd-division/country:ca/csd:1002033,1002033,Rushoon,NL,288,,,,,,,,,,,,
ocd-division/country:ca/csd:1002034,1002034,Parkers Cove,NL,301,,,,,,,,,,,,
ocd-division/country:ca/csd:1002036,1002036,Terrenceville,NL,530,,,,,,,,,,,,
ocd-division/country:ca/csd:1002037,1002037,Red Harbour,NL,191,,,,,,,,,,,,
ocd-division/country:ca/csd:1002039,1002039,English Harbour East,NL,147,,,,,,,,,,,,
ocd-division/country:ca/csd:1002040,1002040,Baine Harbour,NL,137,,,,,,,,,,,,
ocd-division/country:ca/csd:1002041,1002041,St. Bernard's-Jacques Fontaine,NL,470,,,,,,,,,,,,
ocd-division/country:ca/csd:1002044,1002044,"Division No.  2, Subd. L",NL,15,,,,,,,,,,,,
ocd-division/country:ca/csd:1002048,1002048,"Division No.  2, Subd. K",NL,595,,,,,,,,,,,,
ocd-division/country:ca/csd:1002055,1002055,Little Bay East,NL,130,,,,,,,,,,,,
ocd-division/country:ca/csd:1003001,1003001,"Division No.  3, Subd. A",NL,5,,,,,,,,,,,,
ocd-division/country:ca/csd:1003002,1003002,Rencontre East,NL,141,,,,,,,,,,,,
ocd-division/country:ca/csd:1003003,1003003,St. Jacques-Coomb's Cove,NL,618,,,,,,,,,,,,
ocd-division/country:ca/csd:1003004,1003004,Belleoram,NL,409,,,,,,,,,,,,
ocd-division/country:ca/csd:1003005,1003005,Pool's Cove,NL,182,,,,,,,,,,,,
ocd-division/country:ca/csd:1003006,1003006,"Division No.  3, Subd. B",NL,5,,,,,,,,,,,,
ocd-division/country:ca/csd:1003008,1003008,Harbour Breton,NL,1711,,,,,,,,,,,,
ocd-division/country:ca/csd:1003009,1003009,"Division No.  3, Subd. C",NL,0,,,,,,,,,,,,
ocd-division/country:ca/csd:1003010,1003010,Seal Cove (Fortune Bay),NL,263,,,,,,,,,,,,
ocd-division/country:ca/csd:1003011,1003011,Hermitage-Sandyville,NL,450,,,,,,,,,,,,
ocd-division/country:ca/csd:1003012,1003012,Gaultois,NL,179,,,,,,,,,,,,
ocd-division/country:ca/csd:1003014,1003014,"Division No.  3, Subd. D",NL,265,,,,,,,,,,,,
ocd-division/country:ca/csd:1003018,1003018,Milltown-Head of Bay d'Espoir,NL,789,,,,,,,,,,,,
ocd-division/country:ca/csd:1003019,1003019,St. Alban's,NL,1233,,,,,,,,,,,,
ocd-division/country:ca/csd:1003020,1003020,Morrisville,NL,117,,,,,,,,,,,,
ocd-division/country:ca/csd:1003021,1003021,"Division No.  3, Subd. E",NL,114,,,,,,,,,,,,
ocd-division/country:ca/csd:1003024,1003024,"Division No.  3, Subd. F",NL,385,,,,,,,,,,,,
ocd-division/country:ca/csd:1003026,1003026,Ramea,NL,280,,,,,,,,,,,,
ocd-division/country:ca/csd:1003028,1003028,Burgeo,NL,1464,,,,,,,,,,,,
ocd-division/country:ca/csd:1003031,1003031,"Division No.  3, Subd. H",NL,727,,,,,,,,,,,,
ocd-division/country:ca/csd:1003032,1003032,Isle aux Morts,NL,619,,,,,,,,,,,,
ocd-division/country:ca/csd:1003033,1003033,Burnt Islands,NL,651,,,,,,,,,,,,
ocd-division/country:ca/csd:1003034,1003034,Channel-Port aux Basques,NL,4170,,,,,,,,,,,,
ocd-division/country:ca/csd:1003038,1003038,"Division No.  3, Subd. I",NL,103,,,,,,,,,,,,
ocd-division/country:ca/csd:1003042,1003042,"Division No.  3, Subd. J",NL,388,,,,,,,,,,,,
ocd-division/country:ca/csd:1003045,1003045,Rose Blanche-Harbour le Cou,NL,118,,,,,,,,,,,,
ocd-division/country:ca/csd:1003801,1003801,Samiajij Miawpukek,NL,920,,,,,,,,,,,,
ocd-division/country:ca/csd:1004001,1004001,"Division No.  4, Subd. A",NL,1810,,,,,,,,,,,,
ocd-division/country:ca/csd:1004006,1004006,"Division No.  4, Subd. B",NL,1298,,,,,,,,,,,,
ocd-division/country:ca/csd:1004011,1004011,"Division No.  4, Subd. C",NL,728,,,,,,,,,,,,
ocd-division/country:ca/csd:1004013,1004013,St. George's,NL,1207,,,,,,,,,,,,
ocd-division/country:ca/csd:1004016,1004016,"Division No.  4, Subd. D",NL,830,,,,,,,,,,,,
ocd-division/country:ca/csd:1004017,1004017,Gallants,NL,59,,,,,,,,,,,,
ocd-division/country:ca/csd:1004018,1004018,Stephenville Crossing,NL,1875,,,,,,,,,,,,
ocd-division/country:ca/csd:1004019,1004019,Stephenville,NL,6719,,,,,,,,,,,,
ocd-division/country:ca/csd:1004020,1004020,Kippens,NL,1815,,,,,,,,,,,,
ocd-division/country:ca/csd:1004021,1004021,Port au Port East,NL,598,,,,,,,,,,,,
ocd-division/country:ca/csd:1004022,1004022,"Division No.  4, Subd. E",NL,1973,,,,,,,,,,,,
ocd-division/country:ca/csd:1004033,1004033,Cape St. George,NL,949,,,,,,,,,,,,
ocd-division/country:ca/csd:1004037,1004037,Lourdes,NL,532,,,,,,,,,,,,
ocd-division/country:ca/csd:1004042,1004042,Port au Port West-Aguathuna-Felix Cove,NL,447,,,,,,,,,,,,
ocd-division/country:ca/csd:1005001,1005001,"Division No.  5, Subd. A",NL,232,,,,,,,,,,,,
ocd-division/country:ca/csd:1005003,1005003,"Division No.  5, Subd. G",NL,470,,,,,,,,,,,,
ocd-division/country:ca/csd:1005004,1005004,Deer Lake,NL,4995,,,,,,,,,,,,
ocd-division/country:ca/csd:1005005,1005005,Jackson's Arm,NL,323,,,,,,,,,,,,
ocd-division/country:ca/csd:1005006,1005006,Howley,NL,221,,,,,,,,,,,,
ocd-division/country:ca/csd:1005007,1005007,"Division No.  5, Subd. E",NL,187,,,,,,,,,,,,
ocd-division/country:ca/csd:1005008,1005008,Hampden,NL,457,,,,,,,,,,,,
ocd-division/country:ca/csd:1005009,1005009,Reidville,NL,474,,,,,,,,,,,,
ocd-division/country:ca/csd:1005010,1005010,"Division No.  5, Subd. F",NL,632,,,,,,,,,,,,
ocd-division/country:ca/csd:1005011,1005011,Steady Brook,NL,408,,,,,,,,,,,,
ocd-division/country:ca/csd:1005012,1005012,Pasadena,NL,3352,,,,,,,,,,,,
ocd-division/country:ca/csd:1005014,1005014,Cormack,NL,605,,,,,,,,,,,,
ocd-division/country:ca/csd:1005015,1005015,Gillams,NL,407,,,,,,,,,,,,
ocd-division/country:ca/csd:1005016,1005016,"Division No.  5, Subd. C",NL,101,,,,,,,,,,,,
ocd-division/country:ca/csd:1005017,1005017,Massey Drive,NL,1412,,,,,,,,,,,,
ocd-division/country:ca/csd:1005018,1005018,Corner Brook,NL,19886,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ocd-division/country:ca/csd:1005019,1005019,"Division No.  5, Subd. D",NL,5,,,,,,,,,,,,
ocd-division/country:ca/csd:1005020,1005020,Humber Arm South,NL,1681,,,,,,,,,,,,
ocd-division/country:ca/csd:1005022,1005022,McIvers,NL,546,,,,,,,,,,,,
ocd-division/country:ca/csd:1005023,1005023,Cox's Cove,NL,660,,,,,,,,,,,,
ocd-division/country:ca/csd:1005024,1005024,Lark Harbour,NL,510,,,,,,,,,,,,
ocd-division/country:ca/csd:1005025,1005025,Meadows,NL,649,,,,,,,,,,,,
ocd-division/country:ca/csd:1005028,1005028,Hughes Brook,NL,231,,,,,,,,,,,,
ocd-division/country:ca/csd:1005030,1005030,Irishtown-Summerside,NL,1428,,,,,,,,,,,,
ocd-division/country:ca/csd:1005033,1005033,Mount Moriah,NL,785,,,,,,,,,,,,
ocd-division/country:ca/csd:1005035,1005035,York Harbour,NL,347,,,,,,,,,,,,
ocd-division/country:ca/csd:1006001,1006001,"Division No.  6, Subd. D",NL,295,,,,,,,,,,,,
ocd-division/country:ca/csd:1006003,1006003,Norris Arm,NL,912,,,,,,,,,,,,
ocd-division/country:ca/csd:1006008,1006008,"Division No.  6, Subd. E",NL,216,,,,,,,,,,,,
ocd-division/country:ca/csd:1006009,1006009,Gander,NL,11054,,,,,,,,,,,,
ocd-division/country:ca/csd:1006011,1006011,Appleton,NL,622,,,,,,,,,,,,
ocd-division/country:ca/csd:1006012,1006012,Glenwood,NL,791,,,,,,,,,,,,
ocd-division/country:ca/csd:1006014,1006014,"Division No.  6, Subd. C",NL,452,,,,,,,,,,,,
ocd-division/country:ca/csd:1006015,1006015,Northern Arm,NL,397,,,,,,,,,,,,
ocd-division/country:ca/csd:1006017,1006017,Grand Falls-Windsor,NL,13725,,,,,,,,,,,,
ocd-division/country:ca/csd:1006019,1006019,Bishop's Falls,NL,3341,,,,,,,,,,,,
ocd-division/country:ca/csd:1006021,1006021,Peterview,NL,809,,,,,,,,,,,,
ocd-division/country:ca/csd:1006022,1006022,Botwood,NL,3008,,,,,,,,,,,,
ocd-division/country:ca/csd:1006026,1006026,Badger,NL,793,,,,,,,,,,,,
ocd-division/country:ca/csd:1006028,1006028,Millertown,NL,99,,,,,,,,,,,,
ocd-division/country:ca/csd:1006029,1006029,"Division No.  6, Subd. A",NL,94,,,,,,,,,,,,
ocd-division/country:ca/csd:1006031,1006031,Buchans,NL,696,,,,,,,,,,,,
ocd-division/country:ca/csd:1007001,1007001,"Division No.  7, Subd. M",NL,2055,,,,,,,,,,,,
ocd-division/country:ca/csd:1007006,1007006,"Division No.  7, Subd. L",NL,1272,,,,,,,,,,,,
ocd-division/country:ca/csd:1007009,1007009,"Division No.  7, Subd. K",NL,1225,,,,,,,,,,,,
ocd-division/country:ca/csd:1007013,1007013,Clarenville,NL,6036,,,,,,,,,,,,
ocd-division/country:ca/csd:1007014,1007014,"Division No.  7, Subd. J",NL,498,,,,,,,,,,,,
ocd-division/country:ca/csd:1007015,1007015,Trinity (Trinity Bay),NL,137,,,,,,,,,,,,
ocd-division/country:ca/csd:1007016,1007016,Port Rexton,NL,338,,,,,,,,,,,,
ocd-division/country:ca/csd:1007018,1007018,"Division No.  7, Subd. I",NL,102,,,,,,,,,,,,
ocd-division/country:ca/csd:1007020,1007020,Elliston,NL,337,,,,,,,,,,,,
ocd-division/country:ca/csd:1007022,1007022,Trinity Bay North,NL,1827,,,,,,,,,,,,
ocd-division/country:ca/csd:1007023,1007023,Bonavista,NL,3589,,,,,,,,,,,,
ocd-division/country:ca/csd:1007024,1007024,"Division No.  7, Subd. G",NL,398,,,,,,,,,,,,
ocd-division/country:ca/csd:1007025,1007025,Keels,NL,61,,,,,,,,,,,,
ocd-division/country:ca/csd:1007026,1007026,Duntara,NL,46,,,,,,,,,,,,
ocd-division/country:ca/csd:1007027,1007027,King's Cove,NL,111,,,,,,,,,,,,
ocd-division/country:ca/csd:1007028,1007028,"Division No.  7, Subd. F",NL,971,,,,,,,,,,,,
ocd-division/country:ca/csd:1007031,1007031,"Division No.  7, Subd. E",NL,2714,,,,,,,,,,,,
ocd-division/country:ca/csd:1007032,1007032,Musgravetown,NL,556,,,,,,,,,,,,
ocd-division/country:ca/csd:1007036,1007036,Port Blandford,NL,483,,,,,,,,,,,,
ocd-division/country:ca/csd:1007037,1007037,Traytown,NL,283,,,,,,,,,,,,
ocd-division/country:ca/csd:1007038,1007038,"Division No.  7, Subd. D",NL,232,,,,,,,,,,,,
ocd-division/country:ca/csd:1007039,1007039,Savage Cove-Sandy Cove,NL,132,,,,,,,,,,,,
ocd-division/country:ca/csd:1007040,1007040,Terra Nova,NL,83,,,,,,,,,,,,
ocd-division/country:ca/csd:1007041,1007041,Happy Adventure,NL,219,,,,,,,,,,,,
ocd-division/country:ca/csd:1007042,1007042,Eastport,NL,482,,,,,,,,,,,,
ocd-division/country:ca/csd:1007043,1007043,Sandringham,NL,274,,,,,,,,,,,,
ocd-division/country:ca/csd:1007044,1007044,Glovertown,NL,2122,,,,,,,,,,,,
ocd-division/country:ca/csd:1007045,1007045,"Division No.  7, Subd. N",NL,58,,,,,,,,,,,,
ocd-division/country:ca/csd:1007046,1007046,Salvage,NL,136,,,,,,,,,,,,
ocd-division/country:ca/csd:1007047,1007047,Gambo,NL,1984,,,,,,,,,,,,
ocd-division/country:ca/csd:1007048,1007048,St. Brendan's,NL,147,,,,,,,,,,,,
ocd-division/country:ca/csd:1007049,1007049,Hare Bay,NL,1031,,,,,,,,,,,,
ocd-division/country:ca/csd:1007050,1007050,Centreville-Wareham-Trinity,NL,1161,,,,,,,,,,,,
ocd-division/country:ca/csd:1007051,1007051,"Division No.  7, Subd. B",NL,25,,,,,,,,,,,,
ocd-division/country:ca/csd:1007054,1007054,Greenspond,NL,305,,,,,,,,,,,,
ocd-division/country:ca/csd:1007056,1007056,"Division No.  7, Subd. A",NL,144,,,,,,,,,,,,
ocd-division/country:ca/csd:1007057,1007057,Dover,NL,673,,,,,,,,,,,,
ocd-division/country:ca/csd:1007060,1007060,New-Wes-Valley,NL,2265,,,,,,,,,,,,
